id,content,posted_date,by_user,deleted,hashtag_1,hashtag_2,hashtag_3,hashtag_4
1,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2019-08-04 20:43:08,69,False,Compatible,Organized,,workforce
2,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,2020-05-01 00:54:08,52,False,system-worthy,4th generation,,disintermediate
3,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2021-03-10 10:52:15,33,False,interface,,,
4,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2021-04-30 03:55:33,83,False,De-engineered,budgetary management,Expanded,secured line
5,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",2020-02-04 14:10:27,83,True,adapter,Mandatory,,
6,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",2021-02-22 17:38:21,36,False,static,matrix,Centralized,
7,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",2019-08-29 15:47:32,47,False,Reduced,projection,Triple-buffered,
8,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",2020-08-21 01:50:45,46,False,Ameliorated,,Self-enabling,Future-proofed
9,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2020-12-17 15:50:02,74,False,impactful,,Stand-alone,
10,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2020-02-27 10:55:00,31,False,incremental,solution-oriented,,
11,Morbi a ipsum. Integer a nibh.,2020-12-15 01:46:29,88,True,Multi-lateral,Enterprise-wide,Networked,Customizable
12,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2020-07-31 17:53:59,5,False,synergy,solution-oriented,methodology,
13,Phasellus sit amet erat. Nulla tempus.,2020-06-15 14:37:04,69,False,eco-centric,benchmark,,
14,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",2020-08-06 11:25:07,92,False,6th generation,system-worthy,middleware,
15,Vestibulum sed magna at nunc commodo placerat.,2020-07-07 04:34:14,12,False,Cross-group,strategy,encryption,capability
16,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,2020-12-24 02:11:32,92,False,6th generation,Stand-alone,throughput,
17,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",2019-03-20 18:54:09,13,False,local area network,,,
18,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2020-10-19 15:08:17,12,False,workforce,5th generation,3rd generation,Down-sized
19,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2020-01-02 01:24:13,56,False,Cross-group,,methodical,
20,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",2019-02-27 17:51:15,78,False,tertiary,mobile,synergy,
21,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2020-02-04 08:07:27,28,False,encoding,upward-trending,process improvement,Customer-focused
22,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,2019-03-19 14:56:09,100,False,demand-driven,eco-centric,,
23,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2019-09-22 21:51:02,100,False,optimizing,Phased,,fresh-thinking
24,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",2019-04-25 09:41:44,34,False,knowledge user,non-volatile,Multi-channelled,superstructure
